Permission,Role,Role Type
aiplatform.humanInTheLoops.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.humanInTheLoops.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.get,Owner (roles/owner),Basics Role
aiplatform.humanInTheLoops.get,Editor (roles/editor),Basics Role
aiplatform.humanInTheLoops.get,Viewer (roles/viewer),Basics Role
aiplatform.humanInTheLoops.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.humanInTheLoops.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.humanInTheLoops.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.humanInTheLoops.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.humanInTheLoops.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.list,Owner (roles/owner),Basics Role
aiplatform.humanInTheLoops.list,Editor (roles/editor),Basics Role
aiplatform.humanInTheLoops.list,Viewer (roles/viewer),Basics Role
aiplatform.humanInTheLoops.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.humanInTheLoops.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.humanInTheLoops.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.humanInTheLoops.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.humanInTheLoops.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.humanInTheLoops.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.humanInTheLoops.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.queryAnnotationStats,Owner (roles/owner),Basics Role
aiplatform.humanInTheLoops.queryAnnotationStats,Editor (roles/editor),Basics Role
aiplatform.humanInTheLoops.queryAnnotationStats,Viewer (roles/viewer),Basics Role
aiplatform.humanInTheLoops.queryAnnotationStats,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.humanInTheLoops.queryAnnotationStats,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.humanInTheLoops.queryAnnotationStats,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.queryAnnotationStats,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.humanInTheLoops.queryAnnotationStats,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.send,Owner (roles/owner),Basics Role
aiplatform.humanInTheLoops.send,Editor (roles/editor),Basics Role
aiplatform.humanInTheLoops.send,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.humanInTheLoops.send,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.humanInTheLoops.send,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.send,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.humanInTheLoops.send,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.update,Owner (roles/owner),Basics Role
aiplatform.humanInTheLoops.update,Editor (roles/editor),Basics Role
aiplatform.humanInTheLoops.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.humanInTheLoops.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.humanInTheLoops.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.humanInTheLoops.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.humanInTheLoops.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.cancel,Owner (roles/owner),Basics Role
aiplatform.hyperparameterTuningJobs.cancel,Editor (roles/editor),Basics Role
aiplatform.hyperparameterTuningJobs.cancel,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.hyperparameterTuningJobs.cancel,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.cancel,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.cancel,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.hyperparameterTuningJobs.cancel,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.create,Owner (roles/owner),Basics Role
aiplatform.hyperparameterTuningJobs.create,Editor (roles/editor),Basics Role
aiplatform.hyperparameterTuningJobs.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.hyperparameterTuningJobs.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.hyperparameterTuningJobs.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.delete,Owner (roles/owner),Basics Role
aiplatform.hyperparameterTuningJobs.delete,Editor (roles/editor),Basics Role
aiplatform.hyperparameterTuningJobs.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.hyperparameterTuningJobs.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.hyperparameterTuningJobs.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.get,Owner (roles/owner),Basics Role
aiplatform.hyperparameterTuningJobs.get,Editor (roles/editor),Basics Role
aiplatform.hyperparameterTuningJobs.get,Viewer (roles/viewer),Basics Role
aiplatform.hyperparameterTuningJobs.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.hyperparameterTuningJobs.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.hyperparameterTuningJobs.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.hyperparameterTuningJobs.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.list,Owner (roles/owner),Basics Role
aiplatform.hyperparameterTuningJobs.list,Editor (roles/editor),Basics Role
aiplatform.hyperparameterTuningJobs.list,Viewer (roles/viewer),Basics Role
aiplatform.hyperparameterTuningJobs.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.hyperparameterTuningJobs.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.hyperparameterTuningJobs.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.hyperparameterTuningJobs.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.hyperparameterTuningJobs.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.hyperparameterTuningJobs.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.hyperparameterTuningJobs.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.indexEndpoints.create,Owner (roles/owner),Basics Role
aiplatform.indexEndpoints.create,Editor (roles/editor),Basics Role
aiplatform.indexEndpoints.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.indexEndpoints.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.indexEndpoints.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.indexEndpoints.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.indexEndpoints.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.indexEndpoints.delete,Owner (roles/owner),Basics Role
aiplatform.indexEndpoints.delete,Editor (roles/editor),Basics Role
aiplatform.indexEndpoints.delete,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.indexEndpoints.delete,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.indexEndpoints.delete,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.indexEndpoints.delete,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.indexEndpoints.delete,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.indexEndpoints.deploy,Owner (roles/owner),Basics Role
aiplatform.indexEndpoints.deploy,Editor (roles/editor),Basics Role
aiplatform.indexEndpoints.deploy,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.indexEndpoints.deploy,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.indexEndpoints.deploy,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.indexEndpoints.deploy,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.indexEndpoints.deploy,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.indexEndpoints.get,Owner (roles/owner),Basics Role
aiplatform.indexEndpoints.get,Editor (roles/editor),Basics Role
aiplatform.indexEndpoints.get,Viewer (roles/viewer),Basics Role
aiplatform.indexEndpoints.get,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.indexEndpoints.get,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.indexEndpoints.get,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.indexEndpoints.get,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.indexEndpoints.get,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.indexEndpoints.get,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.indexEndpoints.list,Owner (roles/owner),Basics Role
aiplatform.indexEndpoints.list,Editor (roles/editor),Basics Role
aiplatform.indexEndpoints.list,Viewer (roles/viewer),Basics Role
aiplatform.indexEndpoints.list,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.indexEndpoints.list,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.indexEndpoints.list,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.indexEndpoints.list,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.indexEndpoints.list,Vertex AI Viewer (roles/aiplatform.viewer),Predefined Role
aiplatform.indexEndpoints.list,Security Admin (roles/iam.securityAdmin),Predefined Role
aiplatform.indexEndpoints.list,Security Reviewer (roles/iam.securityReviewer),Predefined Role
aiplatform.indexEndpoints.list,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.indexEndpoints.undeploy,Owner (roles/owner),Basics Role
aiplatform.indexEndpoints.undeploy,Editor (roles/editor),Basics Role
aiplatform.indexEndpoints.undeploy,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.indexEndpoints.undeploy,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.indexEndpoints.undeploy,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.indexEndpoints.undeploy,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.indexEndpoints.undeploy,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.indexEndpoints.update,Owner (roles/owner),Basics Role
aiplatform.indexEndpoints.update,Editor (roles/editor),Basics Role
aiplatform.indexEndpoints.update,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.indexEndpoints.update,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.indexEndpoints.update,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.indexEndpoints.update,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.indexEndpoints.update,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
aiplatform.indexes.create,Owner (roles/owner),Basics Role
aiplatform.indexes.create,Editor (roles/editor),Basics Role
aiplatform.indexes.create,Vertex AI Administrator (roles/aiplatform.admin),Predefined Role
aiplatform.indexes.create,Vertex AI Custom Code Service Agent (roles/aiplatform.customCodeServiceAgent),Predefined Role
aiplatform.indexes.create,Vertex AI Service Agent (roles/aiplatform.serviceAgent),Predefined Role
aiplatform.indexes.create,Vertex AI User (roles/aiplatform.user),Predefined Role
aiplatform.indexes.create,Visual Inspection AI Service Agent (roles/visualinspection.serviceAgent),Predefined Role
